2021,2022
1,1
BAA00005,1
20125681,8,10,6,0
21125682,7,9,3,1
20125683,3.25,1,5,0.25
21125684,7.5,8,7,0
20125685,6.25,8,4,0.25
21127686,7,5,9,0
20127687,6.5,5,6,1
CSC00004,1
20127688,6.25,8,4,0.25
21127689,7,5,9,0
20125681,8,10,6,0
21125682,7,9,3,1
20125683,3.25,1,5,0.25
21125684,7.5,8,7,0
20125685,6.25,8,4,0.25
CSC10001,1
21127686,7,5,9,0
20127687,6.5,5,6,1
21127688,3.25,1,5,0.25
20127689,7.5,8,7,0
21125681,6.5,1,10,1
20125682,6.25,6,6,0.25
21125683,8.5,10,5,1
CSC10121,1
20125684,7,10,3,0.5
21125685,7,4,9,0.5
MTH00009,0
20127686,3.25,1,5,0.25
21127687,7.5,8,7,0
20127688,6.25,8,4,0.25
21127689,7,5,9,0
20125681,8,10,6,0
2,1
BAA00101,1
21125682,7,9,3,1
20125683,3.25,1,5,0.25
21125684,7.5,8,7,0
20125685,6.25,8,4,0.25
21127686,7,5,9,0
20127687,6.5,5,6,1
21127688,3.25,1,5,0.25
CSC10002,1
20127689,7.5,8,7,0
21125681,6.5,1,10,1
20125682,6.25,6,6,0.25
21125683,8.5,10,5,1
20125684,7,10,3,0.5
21125685,7,4,9,0.5
MTH00005,1
20127686,3.25,1,5,0.25
21127687,7.5,8,7,0
20127688,6.25,8,4,0.25
21127689,7,5,9,0
20125681,8,10,6,0
21125682,7,9,3,1
20125683,3.25,1,5,0.25
21125684,7.5,8,7,0
PHY00005,0
20125685,6.25,8,4,0.25
21127686,7,5,9,0
20127687,6.5,5,6,1
21127688,3.25,1,5,0.25
20127689,7.5,8,7,0
21125681,6.5,1,10,1
20125682,6.25,6,6,0.25
21125683,8.5,10,5,1
20125684,7,10,3,0.5
21125685,7,4,9,0.5
20127686,3.25,1,5,0.25
21127687,7.5,8,7,0
3,0
MTH253,1
20127688,6.25,8,4,0.25
21127689,7,5,9,0
20125681,8,10,6,0
21125682,7,9,3,1
20125683,3.25,1,5,0.25
21125684,7.5,8,7,0
20125685,6.25,8,4,0.25
21127686,7,5,9,0
ECE341,1
20127687,6.5,5,6,1
21127688,3.25,1,5,0.25
20127689,7.5,8,7,0
21125681,6.5,1,10,1
20125682,6.25,6,6,0.25
21125683,8.5,10,5,1
CS163,1
20125684,7,10,3,0.5
21125685,7,4,9,0.5
20127686,3.25,1,5,0.25
21127687,7.5,8,7,0
20127688,6.25,8,4,0.25
21127689,7,5,9,0
20125681,8,10,6,0
21125682,7,9,3,1
20125683,3.25,1,5,0.25
21125684,7.5,8,7,0
20125685,6.25,8,4,0.25
21127686,7,5,9,0
PH213,0
20127687,6.5,5,6,1
21127688,3.25,1,5,0.25
20127689,7.5,8,7,0
21125681,6.5,1,10,1
20125682,6.25,6,6,0.25
21125683,8.5,10,5,1
20125684,7,10,3,0.5
21125685,7,4,9,0.5
20127686,3.25,1,5,0.25
2020,2021
1,1
BAA00005,1
20127687,6.5,5,6,1
20127688,6.25,8,4,0.25
20127689,7.5,8,7,0
20125681,8,10,6,0
20125682,6.25,6,6,0.25
CSC00004,1
20125683,3.25,1,5,0.25
20125684,7,10,3,0.5
CSC10001,1
20127687,6.5,5,6,1
20127688,6.25,8,4,0.25
20127689,7.5,8,7,0
CSC10121,1
20125681,8,10,6,0
20125682,6.25,6,6,0.25
20125683,3.25,1,5,0.25
20125684,7,10,3,0.5
20125685,6.25,8,4,0.25
20127686,3.25,1,5,0.25
MTH00009,0
20127687,6.5,5,6,1
20127688,6.25,8,4,0.25
20127689,7.5,8,7,0
2,1
BAA00101,1
20125681,8,10,6,0
20125682,6.25,6,6,0.25
20125683,3.25,1,5,0.25
20125684,7,10,3,0.5
20125685,6.25,8,4,0.25
CSC10002,1
20125681,8,10,6,0
20125682,6.25,6,6,0.25
20125683,3.25,1,5,0.25
MTH00005,1
20125681,8,10,6,0
20125682,6.25,6,6,0.25
PHY00005,0
20125681,8,10,6,0
20125682,6.25,6,6,0.25
20125683,3.25,1,5,0.25
20125684,7,10,3,0.5
3,0
MTH253,1
20125681,8,10,6,0
20125682,6.25,6,6,0.25
20125683,3.25,1,5,0.25
ECE341,1
20125684,7,10,3,0.5
20125685,6.25,8,4,0.25
20127686,3.25,1,5,0.25
CS163,1
20127687,6.5,5,6,1
20127688,6.25,8,4,0.25
20127689,7.5,8,7,0
20125681,8,10,6,0
20125682,6.25,6,6,0.25
PH213,0
20125683,3.25,1,5,0.25
20125684,7,10,3,0.5
20125685,6.25,8,4,0.25
20127686,3.25,1,5,0.25
2019,2020
1,1
BAA00005,1
CSC00004,1
CSC10001,1
CSC10121,1
MTH00009,0
2,1
BAA00101,1
CSC10002,1
MTH00005,1
PHY00005,0
3,0
MTH253,1
ECE341,1
CS163,1
PH213,0
